publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Gargantua		9780585009797							https://search.ebscohost.com/login.aspx?direct=true&scope=site&db=e000mww&AN=1057400	Rabelais, François	1057400		ebook		Project Gutenberg					EBSCO eBook Subscription Publicly Accessible Collection	netlibrary.e000mww	50545356		44955506	raw
Daily O'Collegian, The: Oklahoma State University			2012-03-06						http://infoweb.newsbank.com/?db=DOCOK		DOCOK		fulltext							America's News	newsbank.domestic	f3a6efa3-afe2-4fbf-ae62-fbf35ac3c440-emi		1035121449	raw
New Haven Register, The			1988-01-01						http://infoweb.newsbank.com/?db=NHRB		NHRB		fulltext							America's News	newsbank.domestic	728e5416-0a99-4103-a1a0-609f058b913c-emi		232117621	raw
Magnolia Potpourri, The			2007-11-07			2020-05-20			http://infoweb.newsbank.com/?db=MPTX		MPTX		fulltext							America's News	newsbank.domestic	6b07b4dd-2215-4a1e-9d1a-16f13f952622-emi		1097112728	raw
Chico Enterprise-Record	0746-5548		1999-10-07						http://infoweb.newsbank.com/?db=CERB		CERB		fulltext							America's News	newsbank.domestic	8ffc6b39-32ba-4714-9233-0ac1506ec879-emi		232117652	raw
Durant Daily Democrat			2003-12-15						http://infoweb.newsbank.com/?db=DDDB		DDDB		fulltext							America's News	newsbank.domestic	058a54dd-de07-4a41-81e7-9aecdf7599bd-emi		427366385	raw
Corvallis Gazette-Times			1999-07-11						http://infoweb.newsbank.com/?db=CGTC		CGTC		fulltext							America's News	newsbank.domestic	e7a61356-853b-485f-bcd4-dad0637bbe61-emi		1035111841	raw
Yorktown News-View			2012-10-10						http://infoweb.newsbank.com/?db=YNV1		YNV1		fulltext							America's News	newsbank.domestic	7907402f-7406-4e4b-a639-4081e119c494-emi		1097151462	raw
Trailblazer Times, The: MidAmerica Nazarene University			2010-09-29			2017-12-07			http://infoweb.newsbank.com/?db=TTMNO		TTMNO		fulltext							America's News	newsbank.domestic	c80a59f7-a5d5-4a56-af41-df48f565ff86-emi		1097131016	raw
Brookfield Suburban Life			2007-02-14			2013-09-30			http://infoweb.newsbank.com/?db=BSL9		BSL9		fulltext							America's News	newsbank.domestic	95bc33e3-1eef-4ef3-91c3-4932ba7e550a-emi		1035115844	raw
Winchester Star, The			2005-08-11						http://infoweb.newsbank.com/?db=ZBDM		ZBDM		fulltext							America's News	newsbank.domestic	3ba8550f-a08d-4f42-8035-ad545545e328-emi		1097164692	raw
African Finance Journal, The	1605-9786		2006-01			2013-07			https://link.gale.com/apps/pub/5YKC/BIG		5YKC		fulltext		Africangrowth Institute					Business Insights: Global	galegroup.big	7e3736ab-6c78-4880-817b-d6d8a1ea9ad4-emi	gale.ourl	630171788	raw
Computer Shopper	0886-0556		1991-07			2001-12			https://link.gale.com/apps/pub/0CSS/BIG		0CSS		fulltext		SX2 Media Labs LLC					Business Insights: Global	galegroup.big	75b3e446-9cf7-4cca-890c-6454fb03f54c-emi	gale.ourl	230744794	raw
Residential Mortgages in Germany			2012-02-02			2013-09-05			https://link.gale.com/apps/pub/8JZI/BIG		8JZI		fulltext		GlobalData Ltd.					Business Insights: Global	galegroup.big	3d852455-d360-4f33-ac5e-9c937f44587e-emi	gale.ourl	860715668	raw
Ilkeston Advertiser			2012-06-26			2012-12-31			https://link.gale.com/apps/pub/2HFH/BIG		2HFH		fulltext		NLA Access Media Limited					Business Insights: Global	galegroup.big	a61d5c45-f7e0-4e94-95f5-410efeda6801-emi	gale.ourl		raw
Waters of Death: Life after People			2009			2009			https://fod.infobase.com/PortalPlaylists.aspx?xtid=45435		45435		video		A and E Television Networks, LLC					Films on Demand: Master Career and Technical Education Collection - Academic	infobase.mcareer	22546199		817232498	raw
Preventing a Hack Attack on Pacemakers			2014			2014			https://fod.infobase.com/PortalPlaylists.aspx?xtid=57816		57816		video		American Institute of Physics					Films on Demand: Master Career and Technical Education Collection - Academic	infobase.mcareer	22545845		889697071	raw
Dirt Bike	0364-1546		2003-10-01						https://search.ebscohost.com/direct.asp?db=f5h&jid=DIR&scope=site		DIR		fulltext		Hi-Torque Publications Inc.					MasterFILE Premier	EBSCOhost.f5h	553393	ebscoh	60628781	raw
William Randolph Hearst			2017			2017			https://search.ebscohost.com/direct.asp?db=f5h&jid=1DIP&scope=site		1DIP		ebook		Great Neck Publishing					MasterFILE Premier	EBSCOhost.f5h	556562	ebscoh	887308869	raw
Understanding Hate			2001-01-01			2001-01-01			https://search.ebscohost.com/direct.asp?db=f5h&jid=PVL&scope=site		PVL		fulltext		Scholastic Inc.					MasterFILE Premier	EBSCOhost.f5h	556419	ebscoh	746943287	raw
